Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1653.14535901,OUT049
FDW14,1352.95063295,OUT017
NCN55,591.477668146,OUT010
FDQ58,2445.29907649,OUT017
FDY38,6007.41208208,OUT027
FDH56,1945.7065752,OUT046
FDL48,756.693972491,OUT018
FDC48,2032.40600051,OUT027
FDN33,1515.82716151,OUT045
FDA36,3094.22183066,OUT017
FDT44,1949.44502851,OUT017
FDQ56,1348.59418654,OUT045
NCC54,590.045799935,OUT019
FDU11,2037.25615056,OUT049
DRL59,844.130331097,OUT013
FDM24,2485.48648602,OUT049
FDI57,3104.51926079,OUT045
DRC12,2992.76010665,OUT018
NCM42,2997.01142533,OUT027
FDA46,498.502406457,OUT010
FDA31,2872.73756418,OUT013
NCJ31,3896.03230747,OUT035
FDG52,778.068908356,OUT046
NCL19,299.348633347,OUT019
FDS10,3029.80691332,OUT035
FDX22,551.678733247,OUT010
NCF19,763.12391097,OUT035
NCE06,2596.51725467,OUT046
DRC27,3870.90626167,OUT046
FDE21,1929.96242165,OUT035
NCR42,120.824536862,OUT019
FDX51,2962.41972722,OUT018
NCR06,616.448221621,OUT018
FDU31,5905.96060519,OUT027
FDU59,2572.51252232,OUT017
FDR03,5808.93719807,OUT027
FDS49,1971.96758792,OUT027
FDD48,262.813007275,OUT010
NCF18,3066.06457044,OUT017
NCD43,2604.31122824,OUT027
NCD54,2057.63284216,OUT018
FDY19,266.732054143,OUT010
NCY54,2870.09476718,OUT017
NCL19,2415.04368419,OUT018
FDP23,560.99507303,OUT010
FDC26,1747.6481666,OUT013
FDR14,135.818188974,OUT010
NCS41,3122.35981695,OUT035
FDF41,3917.32154769,OUT035
FDU34,2058.51183436,OUT046
DRH11,876.278676752,OUT046
FDM03,1650.77529434,OUT013
FDS31,3037.06566186,OUT017
FDJ20,2023.34093868,OUT017
FDV44,5188.57196371,OUT027
FDG02,3092.85568145,OUT049
FDA09,2999.57998005,OUT013
FDT04,669.975772192,OUT013
FDL58,589.454673352,OUT019
FDE52,1379.01743905,OUT045
FDW12,2487.62042071,OUT035
FDL51,3602.44542379,OUT017
NCY42,3288.32527421,OUT027
FDR07,1543.3295129,OUT017
FDN40,2486.06584909,OUT045
FDB35,2485.89227542,OUT027
FDA22,2547.60299951,OUT017
NCL06,4179.89472712,OUT046
FDI35,3075.05457852,OUT013
NCW42,3694.74378197,OUT045
NCX06,3009.85545952,OUT049
FDC37,2632.36342286,OUT027
FDZ14,1908.14170356,OUT018
DRG49,3876.4028631,OUT049
NCG06,4062.29350194,OUT045
DRC36,2878.32690617,OUT045
FDV21,289.927794301,OUT019
FDB53,2479.75994574,OUT046
DRP47,589.678187731,OUT019
FDA14,2493.68193454,OUT013
DRC24,2483.19464415,OUT035
FDW21,1625.5152349,OUT018
NCH29,1544.57480662,OUT046
FDU58,3110.04644981,OUT013
FDY27,2851.23906138,OUT017
FDV56,1658.31539827,OUT035
FDT59,3799.25488077,OUT046
FDB23,3740.39296602,OUT046
FDR49,765.813104408,OUT045
FDB03,592.068794729,OUT010
FDN39,2622.15744155,OUT045
FDX02,6017.39608428,OUT027
FDQ16,2632.36342286,OUT027
FDU35,1551.90209314,OUT018
NCT29,2050.96072758,OUT013
FDZ27,777.611369568,OUT046
FDN57,2060.48952618,OUT017
FDA03,2415.7926897,OUT018
FDZ36,3112.84607705,OUT045
NCU05,1415.38051271,OUT013
FDT39,2394.93924065,OUT018
FDK60,1541.33846774,OUT017
FDZ25,2728.92564127,OUT017
FDG12,2056.08291059,OUT046
DRB01,489.758545558,OUT019
NCC43,6017.39608428,OUT027
FDX13,589.454673352,OUT019
FDM22,832.062456778,OUT049
FDJ03,1201.99232499,OUT027
FDU14,3651.76293372,OUT018
FDB33,372.424972859,OUT010
FDP27,3105.01478675,OUT046
FDO38,168.570629948,OUT010
FDE28,6017.39608428,OUT027
FDO27,1514.05867067,OUT035
DRL23,2630.7870229,OUT027
FDS28,875.430733406,OUT046
FDX24,1454.13560945,OUT013
FDZ02,1540.04324418,OUT035
FDL46,1932.59805856,OUT045
FDS60,4816.6591768,OUT027
NCO06,587.478998856,OUT017
FDO16,1346.96103719,OUT035
FDC60,1362.16055845,OUT049
FDA48,3437.58055756,OUT018
FDZ36,5184.73210281,OUT027
FDK27,2021.27039617,OUT045
FDW23,606.737428806,OUT018
FDM14,1675.81919061,OUT018
FDM14,1653.14535901,OUT013
FDW60,2794.06337598,OUT018
FDE21,1950.70151346,OUT013
NCM42,1658.31539827,OUT035
FDY59,222.029963104,OUT010
DRI49,1316.24876491,OUT049
FDT28,356.051828533,OUT019
FDQ22,608.559863051,OUT018
FDR60,1282.83062315,OUT049
FDC50,235.705312871,OUT019
FDV24,2478.01169575,OUT013
DRF48,486.992793387,OUT010
FDQ47,609.669374901,OUT046
DRN36,1545.30222967,OUT049
NCY06,2041.43903501,OUT035
FDE52,1377.2939283,OUT035
NCB54,2035.82882113,OUT045
NCF31,2483.19464415,OUT035
FDJ08,5165.63615813,OUT027
NCC07,1651.02711797,OUT017
NCD19,1329.32607184,OUT027
FDL46,1985.77847671,OUT049
FDM20,4033.78194319,OUT045
NCI06,455.065472753,OUT010
DRM11,4177.43876598,OUT035
NCH07,2490.36591278,OUT018
FDS23,2075.32816604,OUT013
FDO49,754.425044964,OUT018
FDS35,1049.21225602,OUT049
DRK39,1327.59479558,OUT045
DRI39,853.947989639,OUT049
FDV04,2528.96724691,OUT017
NCN14,3126.32575115,OUT035
FDH08,3774.23002361,OUT013
FDS20,3149.29858877,OUT046
FDV40,1157.35768478,OUT049
FDZ48,254.946766915,OUT010
FDS24,2352.66052991,OUT027
FDK44,2868.40217007,OUT049
FDS48,2485.99472024,OUT045
FDK26,487.510632559,OUT010
FDD23,3101.90885333,OUT045
NCH54,2551.35983884,OUT017
NCP14,230.47592414,OUT010
FDM60,120.824536862,OUT010
FDV24,2438.02939843,OUT017
FDH08,3484.31557961,OUT018
FDS12,3271.70464532,OUT027
FDR39,4897.26487637,OUT027
FDP12,1162.10050837,OUT027
DRF60,6017.39608428,OUT027
FDC09,1649.60948766,OUT035
FDF50,2958.70777187,OUT018
FDG28,4043.44234818,OUT035
NCE19,849.67912743,OUT017
NCM53,247.249600821,OUT010
NCN18,1726.70030101,OUT049
FDF32,3117.97348221,OUT035
FDF11,4004.15595018,OUT013
DRI59,3863.35730832,OUT049
NCG54,2783.27701057,OUT035
FDM44,1645.16941941,OUT046
FDT57,3522.4300194,OUT018
FDV24,2477.44045569,OUT046
FDI50,589.454673352,OUT019
FDS09,776.018843692,OUT035
NCC31,4015.90955756,OUT027
FDQ07,579.603892504,OUT019
FDC22,3095.66829216,OUT017
FDZ56,2778.72333953,OUT046
FDZ40,125.936997637,OUT019
FDS46,3175.56697253,OUT027
DRD24,2068.55365514,OUT045
FDV45,3081.80216455,OUT017
FDL26,2500.9690067,OUT045
FDA56,1908.44860558,OUT018
FDN27,1962.63700912,OUT046
FDM20,4037.71861891,OUT049
FDO16,1324.00240115,OUT017
FDL03,3059.6334324,OUT035
FDE58,1955.63466427,OUT046
FDI02,3169.30731467,OUT027
NCC55,120.824536862,OUT019
FDR03,3275.28357456,OUT018
FDB14,1442.39276605,OUT017
FDR45,4019.94727803,OUT013
NCN07,2048.33635158,OUT017
FDM51,248.514369861,OUT019
FDT52,6007.41208208,OUT027
FDL26,2491.79563802,OUT046
NCZ42,3904.17904717,OUT046
DRI47,362.434623894,OUT019
FDW40,2108.84621179,OUT013
FDN34,2777.76182687,OUT046
FDS01,2908.35329107,OUT035
NCG55,1932.64242894,OUT045
FDC11,1357.49231984,OUT035
FDX35,3483.12746928,OUT018
NCB06,2589.19453458,OUT046
FDR09,590.045799935,OUT019
FDC53,1543.3295129,OUT017
FDY45,4064.87915134,OUT013
FDA22,387.186054374,OUT010
FDE02,1514.05867067,OUT035
FDW21,1641.51681045,OUT045
FDV34,1154.38646682,OUT046
FDS59,1657.63735881,OUT049
NCW17,2039.70618667,OUT017
NCK54,1955.63466427,OUT046
FDG17,589.721405856,OUT019
FDG35,2876.76832413,OUT017
FDD08,120.824536862,OUT010
NCO07,3618.63760783,OUT017
FDJ10,282.597858245,OUT010
FDW36,1650.63205946,OUT017
FDW21,229.114906523,OUT010
FDY19,1931.70083415,OUT017
DRE03,806.130566953,OUT013
NCC55,622.525773838,OUT049
FDH52,144.683421183,OUT010
FDO09,4181.95010175,OUT017
FDU43,3933.79062117,OUT045
FDX09,431.654538626,OUT010
FDH40,202.965794309,OUT019
FDW58,1650.63205946,OUT017
FDC47,3756.52796305,OUT017
NCR41,1495.35676938,OUT035
DRG49,3881.95760039,OUT035
FDC52,4010.51085566,OUT027
FDY13,1160.53113953,OUT046
FDY35,689.95368995,OUT013
FDI35,3110.78896937,OUT017
NCU18,2095.98863968,OUT049
FDY33,2493.56851113,OUT018
FDC15,4080.8466613,OUT027
FDU01,3132.93138231,OUT049
NCU42,2779.48663121,OUT046
NCV29,2788.66829084,OUT018
NCY30,3115.14614612,OUT017
FDQ46,1747.54755445,OUT049
FDG58,4029.49702284,OUT027
FDK33,3595.98514867,OUT017
NCD07,1930.62198082,OUT045
NCX29,3961.57904233,OUT027
NCT42,2464.50525449,OUT013
DRN59,761.824079875,OUT035
FDI44,1282.84929882,OUT035
FDA45,2860.92327553,OUT049
FDP31,1047.28602497,OUT045
FDY01,1949.58097646,OUT046
FDT09,1934.79670918,OUT018
DRH03,2583.53864723,OUT027
FDA36,2983.68058994,OUT018
NCF31,2440.06973004,OUT017
FDG14,2490.35884111,OUT049
FDG28,6017.39608428,OUT027
FDU14,4118.96722752,OUT049
FDY47,294.666519577,OUT019
FDI56,1384.10863028,OUT049
DRD01,982.494241722,OUT013
FDM22,873.310974998,OUT046
FDH33,678.039274753,OUT013
DRZ24,1976.36250735,OUT013
NCQ38,1650.63205946,OUT046
FDO16,2171.06456733,OUT027
FDU07,3982.0990538,OUT027
NCB07,3081.38085551,OUT013
FDU48,2040.06006041,OUT045
NCM43,2608.06208811,OUT045
FDR31,359.590372472,OUT010
DRK49,612.965890431,OUT018
NCI30,592.068794729,OUT010
DRD60,3044.83574958,OUT017
NCG19,3844.99017811,OUT046
FDH12,1650.63205946,OUT035
FDM32,1437.18888006,OUT035
FDM27,2510.2811168,OUT035
NCU53,4179.71050772,OUT027
NCQ18,1567.08844395,OUT046
FDS10,2949.34724604,OUT013
FDB33,4080.8466613,OUT027
FDI12,1420.70676298,OUT013
NCW42,3695.14954777,OUT013
NCC06,1914.49781202,OUT018
FDW02,2034.90785806,OUT017
NCD43,1650.63205946,OUT017
FDM57,1323.08134852,OUT018
FDA58,3948.3229657,OUT017
FDK56,3129.42690919,OUT046
FDP52,3813.09094635,OUT045
FDW20,1912.3532428,OUT018
FDS52,1629.40236866,OUT049
NCT29,1893.6524567,OUT018
NCL54,2853.3857742,OUT013
FDC05,3045.03854693,OUT045
FDF34,3060.40638964,OUT035
FDP03,3249.40609457,OUT027
FDD32,195.502724133,OUT010
FDZ10,2044.0512322,OUT045
FDZ40,846.573379475,OUT035
FDD51,622.477505001,OUT018
NCY30,427.920965331,OUT019
FDP58,3718.49075614,OUT017
FDV49,4142.97141299,OUT017
FDY24,122.251985643,OUT019
NCO55,1653.14535901,OUT017
FDR13,1929.95094317,OUT017
FDS51,983.208289158,OUT017
FDP26,1649.3096039,OUT045
NCB54,3273.57665155,OUT027
FDF32,3055.4924933,OUT017
FDN31,2988.22408766,OUT018
DRM48,587.478998856,OUT017
FDN20,2755.48320474,OUT049
DRL01,3799.6478036,OUT046
FDV56,1653.14535901,OUT049
DRH13,2632.36342286,OUT027
FDA03,2450.70595912,OUT017
FDF47,6017.39608428,OUT027
FDX32,2491.39766876,OUT046
FDX57,1538.63001343,OUT049
NCA30,3079.43221917,OUT045
FDO49,802.548543145,OUT013
FDL04,249.180780675,OUT019
DRM48,592.605610748,OUT035
FDR16,3668.3217315,OUT013
NCC19,2992.76010665,OUT018
NCE42,3946.59419349,OUT045
FDY24,846.941604897,OUT017
FDH19,2873.38247891,OUT049
FDJ46,2841.15921227,OUT013
FDN45,590.783972392,OUT010
FDY08,2048.43609369,OUT035
FDZ37,1355.60912068,OUT035
NCT30,767.339539808,OUT045
DRY23,615.70211926,OUT018
NCZ30,1909.58069584,OUT018
FDC44,1795.13709184,OUT018
FDB45,1650.63205946,OUT035
FDY04,2598.95598422,OUT013
FDM27,2586.70871577,OUT046
FDZ43,3880.30432875,OUT017
FDT39,363.398276097,OUT019
NCC06,286.810281867,OUT019
FDL15,4013.9755058,OUT027
FDL57,4090.45692285,OUT017
FDU08,1561.40781323,OUT046
FDK40,4180.5413489,OUT017
FDQ12,592.068794729,OUT010
FDS48,2438.02939843,OUT017
FDP09,3583.68630487,OUT045
FDW21,1565.34010275,OUT049
FDY25,3042.18714626,OUT035
DRE13,1346.32740642,OUT017
FDV43,120.824536862,OUT019
FDD22,1745.54009947,OUT045
FDM46,230.846035604,OUT019
NCO30,475.933769245,OUT010
FDM25,2876.6801998,OUT046
NCN41,2038.45861031,OUT049
FDU24,1447.73702872,OUT045
FDZ50,3141.41096697,OUT046
FDP45,4043.60288898,OUT013
NCM54,2034.99314487,OUT045
FDW10,419.395626237,OUT019
FDP20,2041.95516525,OUT017
FDK32,2482.24445198,OUT046
FDN52,1363.16958016,OUT049
FDM58,1726.10075655,OUT045
FDZ46,3107.60838129,OUT027
NCA18,1813.34424482,OUT018
FDD35,2055.47235051,OUT046
NCK31,759.943934721,OUT035
FDI40,2602.55472017,OUT027
FDT50,237.88472958,OUT019
NCT06,2609.06002994,OUT046
FDT31,3097.59917737,OUT035
FDT45,831.791249235,OUT049
FDT13,3110.57004232,OUT045
FDO50,1385.64635876,OUT045
NCU18,280.390765234,OUT010
NCR54,3089.55722603,OUT049
NCO18,2781.84847013,OUT018
FDU09,851.271873655,OUT045
FDT13,3001.35625859,OUT018
FDE09,1748.24868414,OUT046
NCK53,248.514369861,OUT019
FDG45,3621.72939732,OUT049
DRH15,668.776278506,OUT035
FDO21,588.235207178,OUT019
FDD14,5159.22658358,OUT027
FDC09,1649.60948766,OUT046
FDH45,1172.36813472,OUT027
FDV32,1075.41080618,OUT046
FDG12,1975.32580864,OUT035
FDS32,2085.28982446,OUT013
NCL55,3705.90688823,OUT018
DRE01,3911.86741887,OUT035
DRE15,1287.15950839,OUT049
NCL42,3922.12954151,OUT045
FDP31,1232.31077525,OUT013
FDN33,1434.65635238,OUT018
FDZ59,2601.79138824,OUT046
FDE45,435.710149745,OUT010
FDJ07,1974.30946382,OUT013
FDQ45,3019.76704562,OUT018
FDM33,5937.37426721,OUT027
FDO15,160.022478244,OUT010
FDM46,1456.69860449,OUT013
FDR03,3435.07869801,OUT045
FDY49,2599.96515777,OUT018
FDQ60,1964.47735196,OUT045
FDW10,2881.69956719,OUT049
FDO51,662.418351443,OUT049
FDJ40,1638.39616288,OUT018
FDS20,3020.93218933,OUT018
FDU45,1804.10626367,OUT013
FDV02,2781.12200018,OUT035
FDN09,4018.98480107,OUT046
NCM55,5163.06644447,OUT027
FDN23,2418.09556777,OUT018
FDY31,362.686240674,OUT010
FDW03,230.47592414,OUT010
FDD14,3143.32846493,OUT046
FDV23,2035.55046593,OUT017
DRI03,2837.64170644,OUT045
FDN13,1569.40843962,OUT035
FDF45,1397.3405036,OUT027
FDU46,1358.40637891,OUT035
FDB57,3676.10634659,OUT049
FDV12,1569.13558663,OUT049
FDQ58,2477.44045569,OUT013
NCA18,1926.52510531,OUT017
FDH52,964.930563022,OUT049
FDM24,2405.70904664,OUT018
NCP43,4887.4498185,OUT027
NCO18,433.061404998,OUT019
FDM32,1392.87077389,OUT017
NCL07,599.279914111,OUT017
FDK03,4084.33867791,OUT013
FDP59,1647.66072058,OUT017
FDQ24,4039.1925608,OUT049
FDQ16,1639.69186703,OUT018
FDU44,2585.13518008,OUT013
FDH28,120.824536862,OUT010
FDV28,120.824536862,OUT019
FDM22,843.148954353,OUT045
FDR56,3074.20503782,OUT046
FDV39,3073.85879193,OUT049
FDU37,175.73006563,OUT019
FDQ11,592.068794729,OUT010
FDX02,3717.60471099,OUT045
NCS42,1431.17474988,OUT018
FDY57,2583.53864723,OUT027
FDB21,3955.94649993,OUT049
FDE28,3911.60286938,OUT017
FDQ55,1910.25568074,OUT017
FDA48,3711.5975947,OUT049
FDZ19,2874.43725288,OUT045
NCC43,4061.70996371,OUT045
NCV18,1341.55120052,OUT046
NCA42,2484.07046404,OUT018
FDY45,4142.11969564,OUT046
NCC30,2957.64127301,OUT045
FDM57,1424.82050527,OUT013
FDL09,397.701052296,OUT010
FDB09,3249.40609457,OUT027
FDT44,1966.54675353,OUT035
NCT06,4155.65312506,OUT027
FDX26,3145.29519737,OUT049
FDK32,2488.05768857,OUT013
DRA12,2138.25723697,OUT046
FDO46,481.271713802,OUT010
FDE52,1418.8635906,OUT013
NCH42,3774.89396869,OUT045
FDV08,619.14897677,OUT035
FDB47,3393.52451676,OUT018
FDC28,256.318805064,OUT010
FDD22,1928.5476074,OUT046
FDS07,3170.51552908,OUT027
DRI13,3632.91784498,OUT045
FDG32,3431.41137057,OUT018
FDU14,4087.99650326,OUT017
FDD28,141.840956938,OUT019
NCP41,1658.31539827,OUT017
FDS08,2894.22722314,OUT049
FDX47,2558.78272973,OUT045
FDC53,243.73253875,OUT019
FDQ19,3983.64721343,OUT035
FDL14,2484.16267454,OUT045
FDM33,587.78368427,OUT019
FDA51,1911.47190158,OUT045
FDZ27,753.911574336,OUT018
FDT04,635.742727148,OUT046
DRC13,2057.52979718,OUT049
FDR16,5865.95371429,OUT027
FDQ03,6017.39608428,OUT027
FDE38,2728.05601658,OUT035
DRH23,1358.48918228,OUT027
FDT11,485.029630708,OUT019
FDD09,2978.97689147,OUT035
FDR40,1328.23050968,OUT045
FDX07,3117.87270683,OUT017
FDR07,1543.75879281,OUT035
FDA51,1915.21241252,OUT017
FDT59,589.454673352,OUT019
FDF20,3041.82609814,OUT017
FDR13,1919.68765573,OUT045
FDY26,3610.91474505,OUT049
FDW04,2054.22047495,OUT017
FDK52,3897.95419115,OUT017
